creator_code,platform,vertical,handle,batch,is_demo,link_id,recruit_url,share_url_template,qr_svg,qr_png,qr_version,created_at
c001,douyin,food-home,,B1,0,c001_douyin,https://landing.local/?utm_source=douyin&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c001&ref=c001,https://app.local/s/{video_id}?utm_source=douyin&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c001&ref=c001&v={variant},qr/c001_douyin.svg,qr/c001_douyin.png,7,2026-09-23T16:40:46Z
c002,douyin,food-home,,B1,0,c002_douyin,https://landing.local/?utm_source=douyin&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c002&ref=c002,https://app.local/s/{video_id}?utm_source=douyin&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c002&ref=c002&v={variant},qr/c002_douyin.svg,qr/c002_douyin.png,7,2026-09-23T16:40:46Z
c003,douyin,food-dine-out,,B1,0,c003_douyin,https://landing.local/?utm_source=douyin&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c003&ref=c003,https://app.local/s/{video_id}?utm_source=douyin&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c003&ref=c003&v={variant},qr/c003_douyin.svg,qr/c003_douyin.png,7,2026-09-23T16:40:46Z
c004,douyin,food-dine-out,,B1,0,c004_douyin,https://landing.local/?utm_source=douyin&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c004&ref=c004,https://app.local/s/{video_id}?utm_source=douyin&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c004&ref=c004&v={variant},qr/c004_douyin.svg,qr/c004_douyin.png,7,2026-09-23T16:40:46Z
c005,douyin,local-life,,B1,0,c005_douyin,https://landing.local/?utm_source=douyin&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c005&ref=c005,https://app.local/s/{video_id}?utm_source=douyin&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c005&ref=c005&v={variant},qr/c005_douyin.svg,qr/c005_douyin.png,7,2026-09-23T16:40:46Z
c006,douyin,local-life,,B1,0,c006_douyin,https://landing.local/?utm_source=douyin&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c006&ref=c006,https://app.local/s/{video_id}?utm_source=douyin&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c006&ref=c006&v={variant},qr/c006_douyin.svg,qr/c006_douyin.png,7,2026-09-23T16:40:46Z
c007,douyin,food-home,,B1,0,c007_douyin,https://landing.local/?utm_source=douyin&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c007&ref=c007,https://app.local/s/{video_id}?utm_source=douyin&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c007&ref=c007&v={variant},qr/c007_douyin.svg,qr/c007_douyin.png,7,2026-09-23T16:40:46Z
c008,xiaohongshu,food-home,,B1,0,c008_xiaohongshu,https://landing.local/?utm_source=xiaohongshu&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c008&ref=c008,https://app.local/s/{video_id}?utm_source=xiaohongshu&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c008&ref=c008&v={variant},qr/c008_xiaohongshu.svg,qr/c008_xiaohongshu.png,8,2026-09-23T16:40:46Z
c009,xiaohongshu,food-home,,B1,0,c009_xiaohongshu,https://landing.local/?utm_source=xiaohongshu&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c009&ref=c009,https://app.local/s/{video_id}?utm_source=xiaohongshu&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c009&ref=c009&v={variant},qr/c009_xiaohongshu.svg,qr/c009_xiaohongshu.png,8,2026-09-23T16:40:46Z
c010,xiaohongshu,food-dine-out,,B1,0,c010_xiaohongshu,https://landing.local/?utm_source=xiaohongshu&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c010&ref=c010,https://app.local/s/{video_id}?utm_source=xiaohongshu&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c010&ref=c010&v={variant},qr/c010_xiaohongshu.svg,qr/c010_xiaohongshu.png,8,2026-09-23T16:40:46Z
c011,xiaohongshu,food-dine-out,,B1,0,c011_xiaohongshu,https://landing.local/?utm_source=xiaohongshu&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c011&ref=c011,https://app.local/s/{video_id}?utm_source=xiaohongshu&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c011&ref=c011&v={variant},qr/c011_xiaohongshu.svg,qr/c011_xiaohongshu.png,8,2026-09-23T16:40:46Z
c012,xiaohongshu,local-life,,B1,0,c012_xiaohongshu,https://landing.local/?utm_source=xiaohongshu&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c012&ref=c012,https://app.local/s/{video_id}?utm_source=xiaohongshu&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c012&ref=c012&v={variant},qr/c012_xiaohongshu.svg,qr/c012_xiaohongshu.png,8,2026-09-23T16:40:46Z
c013,xiaohongshu,local-life,,B1,0,c013_xiaohongshu,https://landing.local/?utm_source=xiaohongshu&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c013&ref=c013,https://app.local/s/{video_id}?utm_source=xiaohongshu&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c013&ref=c013&v={variant},qr/c013_xiaohongshu.svg,qr/c013_xiaohongshu.png,8,2026-09-23T16:40:46Z
c014,wechat,food-home,,B1,0,c014_wechat,https://landing.local/?utm_source=wechat&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c014&ref=c014,https://app.local/s/{video_id}?utm_source=wechat&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c014&ref=c014&v={variant},qr/c014_wechat.svg,qr/c014_wechat.png,7,2026-09-23T16:40:46Z
c015,wechat,food-dine-out,,B1,0,c015_wechat,https://landing.local/?utm_source=wechat&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c015&ref=c015,https://app.local/s/{video_id}?utm_source=wechat&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c015&ref=c015&v={variant},qr/c015_wechat.svg,qr/c015_wechat.png,7,2026-09-23T16:40:46Z
c016,wechat,local-life,,B1,0,c016_wechat,https://landing.local/?utm_source=wechat&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c016&ref=c016,https://app.local/s/{video_id}?utm_source=wechat&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c016&ref=c016&v={variant},qr/c016_wechat.svg,qr/c016_wechat.png,7,2026-09-23T16:40:46Z
c017,bilibili,food-home,,B1,0,c017_bilibili,https://landing.local/?utm_source=bilibili&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c017&ref=c017,https://app.local/s/{video_id}?utm_source=bilibili&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c017&ref=c017&v={variant},qr/c017_bilibili.svg,qr/c017_bilibili.png,7,2026-09-23T16:40:46Z
c018,bilibili,food-dine-out,,B1,0,c018_bilibili,https://landing.local/?utm_source=bilibili&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c018&ref=c018,https://app.local/s/{video_id}?utm_source=bilibili&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c018&ref=c018&v={variant},qr/c018_bilibili.svg,qr/c018_bilibili.png,7,2026-09-23T16:40:46Z
c019,bilibili,local-life,,B1,0,c019_bilibili,https://landing.local/?utm_source=bilibili&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c019&ref=c019,https://app.local/s/{video_id}?utm_source=bilibili&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c019&ref=c019&v={variant},qr/c019_bilibili.svg,qr/c019_bilibili.png,7,2026-09-23T16:40:46Z
c020,douyin,food-dine-out,,B1,0,c020_douyin,https://landing.local/?utm_source=douyin&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=c020&ref=c020,https://app.local/s/{video_id}?utm_source=douyin&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=c020&ref=c020&v={variant},qr/c020_douyin.svg,qr/c020_douyin.png,7,2026-09-23T16:40:46Z
d001,douyin,food-home,@demo_food_01,DEMO,1,d001_douyin,https://landing.local/?utm_source=douyin&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=d001&ref=d001,https://app.local/s/{video_id}?utm_source=douyin&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=d001&ref=d001&v={variant},qr/d001_douyin.svg,qr/d001_douyin.png,7,2026-09-23T16:40:46Z
d002,xiaohongshu,food-dine-out,@demo_dine_02,DEMO,1,d002_xiaohongshu,https://landing.local/?utm_source=xiaohongshu&utm_medium=creator_recruit&utm_campaign=pro_launch_p1&utm_content=d002&ref=d002,https://app.local/s/{video_id}?utm_source=xiaohongshu&utm_medium=creator_share&utm_campaign=pro_launch_p1&utm_content=d002&ref=d002&v={variant},qr/d002_xiaohongshu.svg,qr/d002_xiaohongshu.png,8,2026-09-23T16:40:46Z
